is_training,mse_kdiff[%],mse_Bleak[uT],mse_V_PriWind[cm3],mse_V_PriCore[cm3],mse_Pout[W]
0,24.141172409057617,683.8717041015625,764.123046875,13782166.0,396445.28125
0,23.894662857055664,683.0250244140625,764.8410034179688,13819202.0,396019.65625
0,47.847442626953125,864.7149047851562,759.7376098632812,15131620.0,396029.03125
0,48.658912658691406,687.2747802734375,752.5571899414062,13489560.0,400950.5625
0,22.970417022705078,681.5188598632812,745.3839111328125,13584434.0,399972.21875
0,49.08379364013672,512.9840087890625,1661.1380615234375,8815606.0,382737.5625
0,48.88990783691406,514.3739624023438,1661.1380615234375,8952178.0,388373.8125
0,49.050682067871094,514.2222290039062,1661.1380615234375,8702741.0,385053.84375
0,26.872394561767578,1070.40673828125,1661.1380615234375,8723675.0,387919.84375
0,26.8447208404541,1074.8184814453125,1661.1380615234375,8704342.0,385650.0
0,27.14577293395996,1057.15185546875,1654.2879638671875,9048287.0,385332.03125
0,42.0157470703125,759.1174926757812,1126.8599853515625,8434107.0,347482.78125
0,42.08662796020508,758.8095703125,1460.8541259765625,8491545.0,347973.34375
0,41.96717834472656,759.0289306640625,1462.5638427734375,8529180.0,348041.3125
0,39.15961456298828,720.5391845703125,1154.27294921875,10690321.0,252796.28125
0,38.921199798583984,724.524658203125,1161.802978515625,10773447.0,252796.28125
0,38.937652587890625,715.0724487304688,1158.77099609375,10785972.0,252796.28125
0,35.56668472290039,722.7205810546875,1160.492431640625,10794695.0,253173.34375
0,34.60795593261719,700.0037841796875,1253.0206298828125,10703036.0,529502.625
0,36.34939193725586,848.2438354492188,1149.7784423828125,10757982.0,529502.625
0,36.318504333496094,718.2816772460938,1150.700439453125,10830645.0,529205.1875
0,36.17051315307617,728.6483154296875,1149.7784423828125,10730612.0,528968.625
0,35.236873626708984,833.8007202148438,1147.843017578125,10752183.0,529928.125
0,38.591514587402344,811.09423828125,1149.7784423828125,10613366.0,530065.75
0,42.808815002441406,732.8865966796875,1662.148681640625,6098680.5,323568.78125
0,39.367431640625,715.2371826171875,1336.9813232421875,9602699.0,375796.625
0,39.92672348022461,715.236083984375,1294.47900390625,9590502.0,377098.3125
0,38.2713623046875,715.2422485351562,1289.16162109375,9459190.0,376782.5625
0,38.2060661315918,715.2290649414062,1284.3271484375,9548924.0,378325.15625
0,38.14883041381836,717.6072998046875,1241.0712890625,9436012.0,379047.25
0,37.783870697021484,780.9617309570312,1241.7723388671875,13636290.0,394281.75
0,37.876102447509766,782.0125732421875,1244.047119140625,13629812.0,396171.5
0,53.485294342041016,791.4805908203125,1244.137939453125,13620021.0,392456.8125
0,39.92098617553711,869.9305419921875,1300.9747314453125,11377318.0,283419.28125
0,40.16064453125,875.0392456054688,1304.626220703125,11377753.0,282376.0
0,40.54648971557617,828.2816162109375,1156.17529296875,11500182.0,282873.25
0,40.261314392089844,825.4653930664062,1163.5982666015625,11520909.0,283623.0
0,36.060951232910156,824.4457397460938,1159.5302734375,11528811.0,282067.9375
0,36.135555267333984,822.6634521484375,1166.0999755859375,11362780.0,282374.46875
0,35.83612823486328,819.803955078125,1131.684326171875,11416746.0,284003.90625
0,35.035888671875,624.8574829101562,1343.7991943359375,11966551.0,386431.90625
0,21.972900390625,795.8677368164062,1274.1036376953125,16367784.0,407997.21875
0,24.44265365600586,582.2605590820312,1241.228759765625,9454402.0,509073.6875
0,25.121471405029297,583.817626953125,1239.5435791015625,9396016.0,509874.53125
0,29.282039642333984,954.1784057617188,1234.6336669921875,13616067.0,389474.1875
0,29.282039642333984,946.9082641601562,1228.93359375,13605025.0,385964.65625
0,29.282039642333984,947.8189086914062,1230.6201171875,13547850.0,382762.71875
0,29.282039642333984,953.9795532226562,944.9207763671875,13697223.0,393090.59375
0,29.282039642333984,949.1121215820312,944.9207763671875,13529796.0,388262.1875
0,29.282039642333984,949.1121215820312,944.9207763671875,13417715.0,383855.84375
0,35.95676040649414,948.8992309570312,958.0845947265625,12947673.0,388630.375
0,35.12051010131836,749.0753784179688,1073.0977783203125,14425681.0,511002.65625
0,35.157752990722656,750.6016235351562,1071.8271484375,14425681.0,512244.59375
0,35.15865707397461,750.445068359375,1072.1051025390625,14425681.0,509677.75
0,35.22063064575195,864.35546875,1075.0340576171875,14468537.0,297107.125
0,32.79738235473633,858.3069458007812,1071.6766357421875,14482459.0,298698.96875
0,32.69294357299805,866.1117553710938,1068.6787109375,14468537.0,297258.96875
0,32.86151885986328,862.5507202148438,1189.4110107421875,14458850.0,294479.40625
0,33.16595458984375,830.512939453125,1154.3345947265625,14519951.0,312627.75
0,32.985355377197266,658.1064453125,1172.6326904296875,14657223.0,304103.03125
0,37.62807846069336,685.3230590820312,1238.5234375,13478726.0,385973.96875
0,37.57691192626953,673.8623657226562,1239.86279296875,13524566.0,387201.34375
0,37.5097541809082,678.30126953125,1229.1351318359375,13430582.0,385924.4375
0,37.50279235839844,801.1357421875,1245.529541015625,13493759.0,388637.34375
0,37.86639404296875,832.6746826171875,1312.7991943359375,13021698.0,446088.0625
0,38.58935546875,928.4163208007812,1312.7991943359375,12936952.0,446088.0625
0,38.58935546875,928.4163208007812,1312.7991943359375,13114961.0,446088.0625
0,38.58935546875,928.4163208007812,1312.7991943359375,13122449.0,446088.0625
0,38.58935546875,928.4163208007812,1312.7991943359375,13074758.0,446088.0625
0,38.624183654785156,928.4163208007812,1312.7991943359375,12981635.0,446088.0625
0,37.88993453979492,928.4163208007812,1312.7991943359375,13015426.0,446088.0625
0,37.88787078857422,928.4163208007812,1312.7991943359375,12974418.0,446088.0625
0,37.9161491394043,928.4163208007812,1312.7991943359375,12980465.0,446088.0625
0,38.21184539794922,815.4912109375,1246.9140625,13556402.0,402598.59375
0,38.21184539794922,824.3793334960938,1244.3746337890625,13512353.0,401910.625
0,38.21184539794922,815.8811645507812,1245.0621337890625,13513750.0,403004.6875
0,38.21184539794922,823.75,1245.1981201171875,13569667.0,400412.8125
0,38.21184539794922,823.75,1255.2276611328125,14368749.0,448365.71875
0,38.21184539794922,823.75,1241.2152099609375,14369200.0,448365.71875
0,38.21184539794922,823.75,1241.2152099609375,14413068.0,448365.71875
0,38.21184539794922,823.75,1241.2152099609375,14354930.0,448365.71875
0,38.18236541748047,823.1550903320312,1210.24951171875,14381254.0,448365.71875
0,30.416778564453125,889.8535766601562,1256.448486328125,17057968.0,448083.25
0,33.675113677978516,702.7620239257812,1254.7626953125,16989550.0,464125.4375
0,39.71218490600586,750.1995849609375,1203.3228759765625,13390179.0,284834.5625
0,39.71218490600586,750.1995849609375,1203.3228759765625,13458542.0,284834.5625
0,39.71218490600586,750.1995849609375,1203.3228759765625,13336321.0,284834.5625
0,39.71218490600586,750.1995849609375,1203.322265625,13371304.0,284834.5625
0,39.71218490600586,750.1995849609375,1304.7608642578125,13462674.0,284834.5625
0,39.71218490600586,750.1995849609375,1304.7608642578125,13492989.0,284834.5625
0,39.71218490600586,750.1995849609375,1304.7608642578125,13538665.0,284834.5625
0,41.29092025756836,741.5699462890625,1315.362060546875,14831569.0,504225.0
0,40.028045654296875,859.5999755859375,1320.2412109375,14930692.0,504946.375
0,39.920127868652344,742.9793090820312,1191.697265625,14880202.0,521970.21875
0,40.86745834350586,731.3242797851562,1131.254638671875,14885773.0,532267.4375
0,45.66122817993164,761.5247192382812,1308.619873046875,11551508.0,382870.625
0,37.880821228027344,701.0034790039062,1261.0736083984375,15032081.0,540684.0625
0,38.304954528808594,682.732666015625,1585.1488037109375,10950290.0,419093.125
0,45.399505615234375,681.4351196289062,1585.1488037109375,10878990.0,419576.21875
0,45.14247131347656,688.518310546875,1587.3260498046875,10970917.0,420898.21875
1,26.730987548828125,709.0831298828125,831.5796508789062,13912184.0,400694.75
1,26.888763427734375,708.906982421875,803.34765625,13886750.0,400687.4375
1,36.9540901184082,709.2957153320312,803.084716796875,14081987.0,400856.46875
1,47.65766143798828,809.9375610351562,796.9951171875,14249104.0,402154.59375
1,31.439327239990234,711.4364013671875,789.1856079101562,13688684.0,406036.40625
1,49.72713851928711,525.7791748046875,1077.6837158203125,8460579.0,389668.375
1,50.44365692138672,520.9478759765625,1635.8358154296875,8623641.0,387737.34375
1,50.32881546020508,521.4169921875,1635.8358154296875,8704287.0,388925.625
1,47.24501037597656,717.0316772460938,1635.6895751953125,8645745.0,389567.15625
1,27.16394805908203,1075.2763671875,1635.8358154296875,8599272.0,390297.625
1,35.2394905090332,1076.45263671875,1635.8355712890625,8539180.0,390010.5625
1,36.98931121826172,797.492431640625,1455.245361328125,8313533.5,387768.90625
1,41.38670349121094,760.156494140625,1194.7384033203125,8768792.0,343468.3125
1,41.35661697387695,760.1339721679688,1406.4364013671875,8750838.0,343806.71875
1,40.2863655090332,754.1438598632812,1320.631103515625,9385336.0,302808.0
1,38.96799087524414,735.1702270507812,1159.5814208984375,10829187.0,239769.65625
1,38.93642807006836,736.5037841796875,1168.59375,10686082.0,239744.84375
1,38.00927734375,729.1046142578125,1154.694580078125,10823106.0,239744.84375
1,36.222801208496094,735.1533203125,1178.0831298828125,10882826.0,398510.78125
1,36.14910125732422,742.7948608398438,1229.4986572265625,10844492.0,528612.8125
1,36.98136520385742,824.8091430664062,1153.4735107421875,10808180.0,528764.4375
1,37.380428314208984,730.9794921875,1153.6070556640625,10780126.0,528764.4375
1,36.774925231933594,756.4452514648438,1153.196044921875,10911754.0,528764.4375
1,36.12351608276367,829.845703125,1151.8756103515625,10788167.0,529119.4375
1,39.55857467651367,805.7274780273438,1196.0718994140625,10436400.0,512634.46875
1,41.603485107421875,745.983642578125,1495.8270263671875,8824962.0,363525.0625
1,39.49401092529297,755.8323974609375,1281.8173828125,9894115.0,384129.25
1,38.959205627441406,755.8323974609375,1253.032470703125,9862882.0,386188.9375
1,39.446285247802734,756.08203125,1257.533935546875,9841571.0,384829.4375
1,39.37685012817383,756.5240478515625,1244.361328125,9848080.0,383479.09375
1,39.689693450927734,799.167236328125,1252.821533203125,14005638.0,381613.875
1,39.194454193115234,806.9164428710938,1245.549072265625,13831423.0,372670.71875
1,42.03995132446289,805.2484130859375,1243.0316162109375,13832966.0,374966.53125
1,53.652889251708984,811.0984497070312,1257.8668212890625,13671352.0,367834.96875
1,40.85857391357422,908.1153564453125,1253.0738525390625,11456147.0,273536.90625
1,40.80318069458008,876.5247802734375,1248.315673828125,11614635.0,272757.34375
1,40.895992279052734,871.0248413085938,1135.4788818359375,11483126.0,272509.71875
1,38.6642951965332,869.8024291992188,1136.5443115234375,11517195.0,272298.40625
1,36.89795684814453,871.6068115234375,1135.83935546875,11558600.0,272789.53125
1,36.8411750793457,871.3991088867188,1133.714599609375,11618529.0,272496.71875
1,34.86812210083008,807.1588134765625,1247.6192626953125,11780030.0,307544.4375
1,27.105546951293945,773.6318969726562,1369.4310302734375,13920426.0,376570.125
1,22.2653865814209,735.2740478515625,1247.7894287109375,11935859.0,454770.21875
1,25.93580436706543,580.9237060546875,1243.3526611328125,9859484.0,512257.1875
1,30.53403663635254,892.2105102539062,1235.73779296875,13079997.0,400654.6875
1,30.74047088623047,945.2575073242188,1239.744873046875,13546063.0,389526.03125
1,30.74047088623047,945.5890502929688,1237.021240234375,13545983.0,388646.5625
1,30.74047088623047,945.1831665039062,1172.823974609375,13598182.0,391513.125
1,30.740440368652344,943.0706176757812,905.7877807617188,13631908.0,388834.09375
1,30.787384033203125,944.9180297851562,905.7877807617188,13488073.0,389847.96875
1,30.75004005432129,945.127685546875,907.9116821289062,13197706.0,388664.03125
1,44.540802001953125,923.5908203125,942.0459594726562,12769746.0,406591.59375
1,36.7191162109375,764.12548828125,1077.732666015625,14342144.0,512990.21875
1,36.68722915649414,764.1946411132812,1075.471923828125,14342144.0,511069.96875
1,36.65850830078125,820.6832275390625,1077.59912109375,14342144.0,501687.8125
1,35.92749786376953,860.1585693359375,1073.5244140625,14414325.0,287588.125
1,34.7137565612793,870.60107421875,1069.8958740234375,14410890.0,289158.40625
1,34.6536979675293,870.2443237304688,1142.4947509765625,14414325.0,286475.78125
1,34.51115798950195,863.6430053710938,1155.9686279296875,14486945.0,281102.3125
1,34.40058517456055,762.4444580078125,1133.3792724609375,14810782.0,306201.65625
1,35.45299530029297,695.6585693359375,1172.7283935546875,14741686.0,320901.84375
1,39.07902908325195,686.5927124023438,1246.265380859375,13434556.0,386340.9375
1,39.07935333251953,690.7451171875,1250.4603271484375,13426061.0,387273.9375
1,39.00545120239258,755.9657592773438,1241.24658203125,13416593.0,387772.65625
1,39.09684371948242,803.8867797851562,1248.37646484375,13347792.0,416513.09375
1,39.45912551879883,853.1441650390625,1291.1175537109375,13033848.0,434442.8125
1,39.24177932739258,923.7576293945312,1291.1175537109375,13051679.0,434442.8125
1,39.24177932739258,923.7576293945312,1291.1175537109375,13007631.0,434442.8125
1,39.24177932739258,923.7576293945312,1291.1175537109375,13048719.0,434442.8125
1,39.22702407836914,923.7576293945312,1291.1175537109375,13019368.0,434442.8125
1,39.35612869262695,923.7576293945312,1291.1175537109375,13055699.0,434442.8125
1,38.65538787841797,923.7576293945312,1291.1175537109375,13045243.0,434442.8125
1,38.680213928222656,923.7576293945312,1291.1175537109375,12990994.0,434442.8125
1,39.43669128417969,892.5794677734375,1259.10302734375,13073922.0,420021.90625
1,40.39494705200195,817.7699584960938,1207.818359375,13497489.0,387094.40625
1,40.39494705200195,814.5894775390625,1207.2989501953125,13546432.0,385016.0
1,40.39494705200195,828.2401123046875,1207.162841796875,13523422.0,384340.09375
1,40.39494705200195,841.3518676757812,1213.4207763671875,13801657.0,428266.375
1,40.402099609375,841.63330078125,1209.312255859375,14579138.0,429405.375
1,40.385318756103516,840.2988891601562,1211.240478515625,14537387.0,429243.53125
1,40.39638900756836,841.3518676757812,1211.2398681640625,14545049.0,429405.375
1,40.39189147949219,841.3518676757812,1209.9969482421875,14570289.0,429405.375
1,39.397239685058594,869.9337768554688,1219.5792236328125,16217764.0,429264.15625
1,30.817729949951172,757.5114135742188,1250.92919921875,17270528.0,435717.9375
1,39.051002502441406,782.6026611328125,1226.98779296875,14296948.0,332888.65625
1,40.58903884887695,790.3815307617188,1222.9832763671875,13666663.0,276791.21875
1,40.58903884887695,790.6949462890625,1222.9832763671875,13640573.0,276791.21875
1,40.58903884887695,790.6949462890625,1222.9832763671875,13712902.0,276791.21875
1,40.58903884887695,790.6949462890625,1217.8516845703125,13689368.0,276791.21875
1,40.58900451660156,790.6949462890625,1251.6712646484375,13632406.0,276791.21875
1,40.58952331542969,790.7210693359375,1251.6712646484375,13658179.0,276791.21875
1,40.6809196472168,790.73193359375,1252.78271484375,13767101.0,342311.34375
1,41.13788604736328,863.3389892578125,1260.156005859375,14901060.0,499070.5625
1,41.39944076538086,811.8059692382812,1242.2926025390625,15018234.0,507076.15625
1,40.143028259277344,773.4859619140625,1201.6114501953125,14591181.0,527536.0
1,43.853248596191406,771.5051879882812,1154.083740234375,12906203.0,488988.0
1,41.265750885009766,725.727294921875,1265.5035400390625,12957557.0,461451.6875
1,40.054229736328125,714.986083984375,1400.4210205078125,13025717.0,473300.71875
1,40.96446990966797,689.9627685546875,1568.7979736328125,10852881.0,410738.09375
1,44.90067672729492,690.3374633789062,1567.50244140625,10806500.0,410542.78125
